timestamp,pred_h1,act_h1,pred_h2,act_h2,pred_h3,act_h3,pred_h4,act_h4,pred_h5,act_h5,pred_h6,act_h6
2017-10-19 10:30:00,35960.40625,35013.74179,36186.609375,35505.2954,36429.23046875,35599.82495,36558.2421875,35492.69147,36738.203125,35940.13129,36862.58984375,36381.26915
2017-10-19 10:40:00,36146.2421875,35505.2954,36339.9375,35599.82495,36549.5546875,35492.69147,36648.9453125,35940.13129,36800.796875,36381.26915,36899.4921875,36456.89278
2017-10-19 10:50:00,36309.24609375,35599.82495,36469.6171875,35492.69147,36645.40234375,35940.13129,36713.7890625,36381.26915,36835.609375,36456.89278,36906.8828125,36658.5558
2017-10-19 11:00:00,36454.71875,35492.69147,36586.87890625,35940.13129,36734.08984375,36381.26915,36776.0625,36456.89278,36871.8125,36658.5558,36918.0625,36664.85777
2017-10-19 11:10:00,36529.00390625,35940.13129,36634.63671875,36381.26915,36756.2109375,36456.89278,36773.79296875,36658.5558,36844.5234375,36664.85777,36866.76953125,36664.85777
2017-10-19 11:20:00,36558.52734375,36381.26915,36636.89453125,36456.89278,36731.51171875,36658.5558,36724.98046875,36664.85777,36770.58984375,36664.85777,36770.546875,36885.4267
2017-10-19 11:30:00,36584.3359375,36456.89278,36641.58984375,36658.5558,36716.6875,36664.85777,36692.4765625,36664.85777,36719.02734375,36885.4267,36701.85546875,36872.82276
2017-10-19 11:40:00,36638.3984375,36658.5558,36680.9609375,36664.85777,36741.87109375,36664.85777,36705.4921875,36885.4267,36717.99609375,36872.82276,36687.8046875,37225.73304
2017-10-19 11:50:00,36652.48828125,36664.85777,36681.88671875,36664.85777,36730.234375,36885.4267,36683.1953125,36872.82276,36683.67578125,37225.73304,36643.1171875,37376.98031
2017-10-19 12:00:00,36599.65234375,36664.85777,36615.54296875,36885.4267,36650.95703125,36872.82276,36593.37890625,37225.73304,36580.23046875,37376.98031,36527.6015625,36942.14442
2017-10-19 12:10:00,36597.296875,36885.4267,36598.95703125,36872.82276,36620.47265625,37225.73304,36552.53125,37376.98031,36527.48828125,36942.14442,36466.890625,36551.42232
2017-10-19 12:20:00,36602.12109375,36872.82276,36590.19921875,37225.73304,36598.76953125,37376.98031,36520.86328125,36942.14442,36483.390625,36551.42232,36415.15625,36633.34792
2017-10-19 12:30:00,36574.96484375,37225.73304,36542.60546875,37376.98031,36531.85546875,36942.14442,36438.17578125,36551.42232,36382.7265625,36633.34792,36302.1484375,36942.14442
2017-10-19 12:40:00,36634.890625,37376.98031,36592.23046875,36942.14442,36571.97265625,36551.42232,36469.69140625,36633.34792,36404.7578125,36942.14442,36317.859375,36721.57549
