timestamp,pred_h1,act_h1,pred_h2,act_h2,pred_h3,act_h3,pred_h4,act_h4,pred_h5,act_h5,pred_h6,act_h6
2017-04-23 10:40:00,21720.744140625,20781.74905,21743.71875,20666.1597,21716.28125,20781.74905,21633.0859375,20891.25475,21296.041015625,20927.75665,21584.55859375,21006.84411
2017-04-23 10:50:00,21690.888671875,20666.1597,21720.81640625,20781.74905,21703.841796875,20891.25475,21618.072265625,20927.75665,21295.16015625,21006.84411,21580.30078125,21304.94297
2017-04-23 11:00:00,21569.87890625,20781.74905,21636.015625,20891.25475,21620.033203125,20927.75665,21545.607421875,21006.84411,21229.1953125,21304.94297,21538.0546875,22034.98099
2017-04-23 11:10:00,21505.259765625,20891.25475,21540.921875,20927.75665,21551.0625,21006.84411,21468.392578125,21304.94297,21195.4296875,22034.98099,21483.1953125,21797.71863
2017-04-23 11:20:00,21410.73046875,20927.75665,21451.3203125,21006.84411,21461.841796875,21304.94297,21391.365234375,22034.98099,21120.49609375,21797.71863,21439.939453125,21463.11787
2017-04-23 11:30:00,21345.896484375,21006.84411,21374.1796875,21304.94297,21403.4765625,22034.98099,21344.15625,21797.71863,21119.3359375,21463.11787,21435.0078125,21377.94677
2017-04-23 11:40:00,21267.884765625,21304.94297,21276.205078125,22034.98099,21330.71875,21797.71863,21313.638671875,21463.11787,21048.2890625,21377.94677,21389.37109375,21165.01901
2017-04-23 11:50:00,21169.458984375,22034.98099,21167.775390625,21797.71863,21245.416015625,21463.11787,21227.1171875,21377.94677,21011.0078125,21165.01901,21354.974609375,20739.1635
2017-04-23 12:00:00,21128.8984375,21797.71863,21117.68359375,21463.11787,21205.306640625,21377.94677,21211.380859375,21165.01901,21014.615234375,20739.1635,21366.634765625,19631.93916
2017-04-23 12:10:00,21152.396484375,21463.11787,21129.171875,21377.94677,21233.169921875,21165.01901,21246.888671875,20739.1635,21085.337890625,19631.93916,21429.63671875,18500.38023
2017-04-23 12:20:00,21123.99609375,21377.94677,21087.41015625,21165.01901,21199.21484375,20739.1635,21221.685546875,19631.93916,21031.005859375,18500.38023,21436.283203125,18184.03042
2017-04-23 12:30:00,21056.91796875,21165.01901,21021.65625,20739.1635,21150.974609375,19631.93916,21214.19140625,18500.38023,21027.7890625,18184.03042,21444.8671875,17624.3346
2017-04-23 12:40:00,21112.509765625,20739.1635,21095.546875,19631.93916,21229.89453125,18500.38023,21345.939453125,18184.03042,21202.779296875,17624.3346,21628.076171875,17709.5057
2017-04-23 12:50:00,21178.63671875,19631.93916,21150.501953125,18500.38023,21306.013671875,18184.03042,21473.466796875,17624.3346,21357.361328125,17709.5057,21810.4375,17922.43346
2017-04-23 13:00:00,21143.439453125,18500.38023,21158.138671875,18184.03042,21298.98046875,17624.3346,21472.74609375,17709.5057,21362.13671875,17922.43346,21885.861328125,17910.26616
2017-04-23 13:10:00,21205.130859375,18184.03042,21252.26171875,17624.3346,21426.50390625,17709.5057,21622.515625,17922.43346,21515.119140625,17910.26616,22074.7734375,18098.85932
2017-04-23 13:20:00,21247.3515625,17624.3346,21284.482421875,17709.5057,21505.578125,17922.43346,21726.056640625,17910.26616,21660.779296875,18098.85932,22248.47265625,18494.29658
2017-04-23 13:30:00,21311.5390625,17709.5057,21373.529296875,17922.43346,21622.9296875,17910.26616,21857.046875,18098.85932,21807.857421875,18494.29658,22404.2890625,18883.65019
2017-04-23 13:40:00,21397.966796875,17922.43346,21470.10546875,17910.26616,21747.5390625,18098.85932,21983.984375,18494.29658,21969.376953125,18883.65019,22570.50390625,19133.07985
2017-04-23 13:50:00,21677.58984375,17910.26616,21752.87890625,18098.85932,22070.35546875,18494.29658,22306.755859375,18883.65019,22291.337890625,19133.07985,22912.125,19704.94297
2017-04-23 14:00:00,21750.85546875,18098.85932,21838.5859375,18494.29658,22171.34765625,18883.65019,22436.28515625,19133.07985,22450.015625,19704.94297,23082.021484375,20057.79468
2017-04-23 14:10:00,22053.833984375,18494.29658,22179.125,18883.65019,22540.8671875,19133.07985,22810.56640625,19704.94297,22871.234375,20057.79468,23479.125,20495.81749
2017-04-23 14:20:00,22301.693359375,18883.65019,22447.1171875,19133.07985,22795.341796875,19704.94297,23041.39453125,20057.79468,23168.38671875,20495.81749,23744.46484375,20897.3384
2017-04-23 14:30:00,22568.888671875,19133.07985,22728.666015625,19704.94297,23087.41015625,20057.79468,23354.28125,20495.81749,23491.83984375,20897.3384,24034.052734375,21542.20532
2017-04-23 14:40:00,22903.865234375,19704.94297,23081.88671875,20057.79468,23443.7109375,20495.81749,23729.001953125,20897.3384,23924.580078125,21542.20532,24442.998046875,22059.31559
2017-04-23 14:50:00,23377.85546875,20057.79468,23594.376953125,20495.81749,23946.720703125,20897.3384,24258.2734375,21542.20532,24509.34765625,22059.31559,24956.84375,22558.1749
2017-04-23 15:00:00,23774.439453125,20495.81749,24037.3515625,20897.3384,24347.853515625,21542.20532,24676.412109375,22059.31559,24977.328125,22558.1749,25394.54296875,23196.95817
2017-04-23 15:10:00,24261.85546875,20897.3384,24541.43359375,21542.20532,24860.162109375,22059.31559,25185.74609375,22558.1749,25476.8515625,23196.95817,25878.251953125,23780.98859
2017-04-23 15:20:00,24745.44140625,21542.20532,25073.826171875,22059.31559,25372.484375,22558.1749,25676.357421875,23196.95817,25964.212890625,23780.98859,26302.40625,24091.25475
2017-04-23 15:30:00,25273.2421875,22059.31559,25612.21484375,22558.1749,25895.04296875,23196.95817,26196.109375,23780.98859,26467.80078125,24091.25475,26792.595703125,24717.87072
2017-04-23 15:40:00,25744.8515625,22558.1749,26143.16796875,23196.95817,26387.904296875,23780.98859,26690.63671875,24091.25475,26953.138671875,24717.87072,27224.3984375,25143.72624
